"","Name.Final_research","Name.Final_practitioner","tool_name","count","greater_findings","lesser_findings","no_mixed_findings","temp_vote_count_factor","vote_count_factor","count_adverse","count_without_adverse","ma_focus_greater_count_factor","ma_focus_lesser_count_factor","ma_focus_no_mixed_count_factor","cro_focus_greater_count_factor","cro_focus_lesser_count_factor","cro_focus_no_mixed_count_factor","outcomes","Short.description","Description_tool","Theory.of.change","Structural.or.operational","Evidence.review","Strategies.the.tool.can.support","DIMEL","Name","Dedoose.name_factor","Description","Inverse.factor","Inverse.factor.description","Contextual.or.design.factor","Family","greater_practitioner","lesser_practitioner","no_mixed_practitioner","count_practitioner","number_practitioners","proportion_practitioner","inversion_with_neg_strength","Description.Final_research","Description.Final_practitioner","research_qualitative","practitioner_qualitative","research_qualitative_for_web","practitioner_qualitative_for_web","Dedoose.name_tool","dissuade","degrade","protect","transition","military","diplomatic","informational","economic","legal","domestic_context","conflict_dynamics","target_characteristics","implementer_choices","implementer_characteristics","international_dynamics","tool_specific"
"184","Non-humanitarian aid",NA,"Development assistance",1,1,0,0,-0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","(1) dissuading potential perpetrators from committing atrocities","Economic","Humanitarian aid","Humanitarian_aid","The purpose of the assistance is humanitarian.","Non-humanitarian aid","The purpose of the assistance is not humanitarian.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,1,"The purpose of the assistance is not humanitarian.",NA,"Weaker",NA,"Relatively weak",NA,"Development assistance_tool",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"185","High status target",NA,"Mediation",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","High status target","Top leader or high status","The target is a top leader or has high status.","Not a top leader or high status","The target is not a top leader or has low status.","Design","Target characteristics",NA,NA,NA,NA,NA,NA,0,"The target is a top leader or has high status.",NA,"Weaker",NA,"Relatively weak",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"186","Lower-risk state",NA,"Security assistance",1,1,0,0,-0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Aid that promotes another state’s defense","Security assistance is support provided by a government in the form of “defense articles, military education and training, and other defense-related services to eligible foreign governments by grant, loan, credit, cash sales, or lease” (Office of the Deputy Assistant Secretary of the Army for Defense Exports and Cooperation).","If security assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if security assistance enables a state to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","(1) dissuading potential perpetrators from committing atrocities, (2) degrading potential perpetrators’ capacity to commit atrocities, and (3) protecting vulnerable civilian populations.","Military, Economic, Informational","High-risk state","High-risk state","The country under study exhibits a combination of characteristics that increase the likelihood of conflict onset, such as low GDP per capita and rule by anocracy.","Lower-risk state","The country under study does not exhibit characteristics that increase the likelihood of conflict onset.","Contextual","Domestic context  ",NA,NA,NA,NA,NA,NA,1,"The country under study does not exhibit characteristics that increase the likelihood of conflict onset.",NA,"Weaker",NA,"Relatively weak",NA,"Security assistance_tool",1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0
"187","Threat of use of tool",NA,"Arms embargoes",2,0,0,2,0,0,0,2,0,0,0,0,0,2,"Conflict","Prohibitions on weapons transfers","Arms embargoes prohibit arms transfers to a whole country (“blanket arms embargoes”), specific areas or forces within a country (“selective arms embargoes”), or individuals or groups regardless of location (“global arms embargoes”). Arms embargoes can target one or all sides of a conflict (“partial” and “impartial” arms embargoes, respectively) (SIPR 2007, pp. 2-3).","If arms embargoes deny potential perpetrators access to arms or raise the costs of acquiring arms, they would reduce the likelihood or severity of mass atrocities by constraining their capacity for violence. If arms embargoes increase the expected cost of committing mass atrocities, potential perpetrators would be more likely to choose alternative options (Brubaker and Dorfler 2017, pp. 2, 8).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) degrading potential perpetrators’ capacity to commit atrocities","Military, Economic","Threat of use of tool","Threat of use of tool","The tool implementer threatens the use of the tool.","No threat of use of tool","The tool implementer does not threaten the use of the tool.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,0,"The tool implementer threatens the use of the tool.",NA,"Weaker",NA,"Relatively weak",NA,"Arms embargoes_tool",1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"188","Consistent implementation",NA,"Official amnesties",2,1,1,0,0,0,0,2,0,0,0,1,1,0,"Conflict","The official barring of legal proceedings against certain individuals or groups","An official amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If official amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Consistent implementation","Consistency over time","The tool is implemented consistently over time and across parties/perpetrator groups.","Inconsistent implementation","The tool is implemented inconsistently over time and across parties/perpetrator groups.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,0,"The tool is implemented consistently over time and across parties/perpetrator groups.",NA,"Weaker",NA,"Relatively weak",NA,"Amnesties_tool",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"189","Consistent implementation",NA,"Prosecutions",3,3,0,0,2,2,0,3,1,0,0,2,0,0,"Human rights violations, Mass atrocities","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Consistent implementation","Consistency over time","The tool is implemented consistently over time and across parties/perpetrator groups.","Inconsistent implementation","The tool is implemented inconsistently over time and across parties/perpetrator groups.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,0,"The tool is implemented consistently over time and across parties/perpetrator groups.",NA,"Moderate",NA,"Moderate",NA,"Prosecutions_tool",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"190","Conflict termination goals",NA,"Mediation",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","Conflict termination goals","Conflict termination goals","The tool implementer’s policy objective is to end the civil war or conflict.","Non-conflict termination goals","The tool implementer’s policy objective is not to end the civil war or conflict.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,0,"The tool implementer’s policy objective is to end the civil war or conflict.",NA,"Weaker",NA,"Relatively weak",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"191","Tool addresses internal and external issues",NA,"Mediation",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","Tool addresses internal and external issues","Addresses internal and external issues","The tool addresses internal and external issues together.","Tool addresses internal or external issues","The tool addresses either internal or external issues, not both.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,0,"The tool addresses internal and external issues together.",NA,"Weaker",NA,"Relatively weak",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"192","Preliminary examination",NA,"Prosecutions",1,0,0,1,0,0,0,1,0,0,1,0,0,0,"Mass atrocities","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Preliminary examination","Preliminary_examination","A preliminary examination has occurred.","No preliminary examination","No preliminary examination has occurred.","Design","Prosecutions factors",NA,NA,NA,NA,NA,NA,0,"A preliminary examination has occurred.",NA,"Weaker",NA,"Relatively weak",NA,"Prosecutions_tool",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"193","Initiating investigation",NA,"Prosecutions",4,3,0,1,2.5,2,0,4,2,0,1,1,0,0,"Mass atrocities, Violence against civilians","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Initiating investigation","Initiating investigation","An investigation has been initiated.","No investigation initiated","An investigation has not been initiated.","Design","Prosecutions factors",NA,NA,NA,NA,NA,NA,0,"An investigation has been initiated.",NA,"Moderate",NA,"Moderate",NA,"Prosecutions_tool",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"194","Non-corrupt",NA,"Security assistance",1,1,0,0,-0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Aid that promotes another state’s defense","Security assistance is support provided by a government in the form of “defense articles, military education and training, and other defense-related services to eligible foreign governments by grant, loan, credit, cash sales, or lease” (Office of the Deputy Assistant Secretary of the Army for Defense Exports and Cooperation).","If security assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if security assistance enables a state to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","(1) dissuading potential perpetrators from committing atrocities, (2) degrading potential perpetrators’ capacity to commit atrocities, and (3) protecting vulnerable civilian populations.","Military, Economic, Informational","Corrupt","Corrupt","The target engages in corrupt activities.","Non-corrupt","The target does not engage in corrupt activities.","Contextual","Target characteristics",NA,NA,NA,NA,NA,NA,1,"The target does not engage in corrupt activities.",NA,"Weaker",NA,"Relatively weak",NA,"Security assistance_tool",1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0
"195","Domestic punishment likely",NA,"Prosecutions",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Domestic punishment likely","Domestic_punishment_likely","Punishment for the perpetrators of mass atrocities is likely in the domestic context.","Domestic punishment unlikely","Punishment for the perpetrators of mass atrocities is unlikely in the domestic context.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,0,"Punishment for the perpetrators of mass atrocities is likely in the domestic context.",NA,"Weaker",NA,"Relatively weak",NA,"Prosecutions_tool",1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"196","Democracy",NA,"Development assistance",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Violence against civilians","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","(1) dissuading potential perpetrators from committing atrocities","Economic","Democracy","Democracy","The country under study is a democracy. (Note - For our review, we assume that findings associated with autocracy or authoritarian regime type can be considered equivalent to findings associated with the absence of democracy.)","Autocracy or authoritarian regime","The country under study is an autocracy or authoritarian regime.","Contextual","Domestic context ",NA,NA,NA,NA,NA,NA,0,"The country under study is a democracy. (Note - For our review, we assume that findings associated with autocracy or authoritarian regime type can be considered equivalent to findings associated with the absence of democracy.)",NA,"Weaker",NA,"Relatively weak",NA,"Development assistance_tool",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"197","Ongoing armed conflict",NA,"Development assistance",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Violence against civilians","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","(1) dissuading potential perpetrators from committing atrocities","Economic","Ongoing armed conflict","Ongoing armed conflict","There is an ongoing armed conflict in the country under study.","No ongoing armed conflict","There is no ongoing armed conflict in the country under study.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,0,"There is an ongoing armed conflict in the country under study.",NA,"Weaker",NA,"Relatively weak",NA,"Development assistance_tool",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"198","Limited amnesty timespan",NA,"Official amnesties",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","The official barring of legal proceedings against certain individuals or groups","An official amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If official amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Limited amnesty timespan","Limited_timespan","The amnesty covers acts that took place during a limited timespan.","Broad amnesty timespan","The amnesty covers acts that took place during a broad timespan.","Design","Amnesty factors",NA,NA,NA,NA,NA,NA,0,"The amnesty covers acts that took place during a limited timespan.",NA,"Weaker",NA,"Relatively weak",NA,"Amnesties_tool",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"199","Unbiased implementer or intervention",NA,"Security assistance",1,1,0,0,-0.5,0.5,0,1,0,0,0,1,0,0,"Human rights violations","Aid that promotes another state’s defense","Security assistance is support provided by a government in the form of “defense articles, military education and training, and other defense-related services to eligible foreign governments by grant, loan, credit, cash sales, or lease” (Office of the Deputy Assistant Secretary of the Army for Defense Exports and Cooperation).","If security assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if security assistance enables a state to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","(1) dissuading potential perpetrators from committing atrocities, (2) degrading potential perpetrators’ capacity to commit atrocities, and (3) protecting vulnerable civilian populations.","Military, Economic, Informational","Biased implementer or intervention","Biased intervener or intervention","The tool implementer or intervention is biased toward one party. Bias refers to the posture of the intervener, not necessarily prejudices that the intervener might hold about parties.","Unbiased implementer or intervention","The tool implementer or intervention is not biased toward either party. Bias refers to the posture of the intervener, not necessarily prejudices that the intervener might hold about parties.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,1,"The tool implementer or intervention is not biased toward either party. Bias refers to the posture of the intervener, not necessarily prejudices that the intervener might hold about parties.",NA,"Weaker",NA,"Relatively weak",NA,"Security assistance_tool",1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0
"200","Imbalance of power",NA,"Security assistance",1,1,0,0,-0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Aid that promotes another state’s defense","Security assistance is support provided by a government in the form of “defense articles, military education and training, and other defense-related services to eligible foreign governments by grant, loan, credit, cash sales, or lease” (Office of the Deputy Assistant Secretary of the Army for Defense Exports and Cooperation).","If security assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if security assistance enables a state to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","(1) dissuading potential perpetrators from committing atrocities, (2) degrading potential perpetrators’ capacity to commit atrocities, and (3) protecting vulnerable civilian populations.","Military, Economic, Informational","Balance of power or stalemate","Balance of power or stalemate","The national government and non-state armed group(s) have similar levels of resilience, adaptability, military experience, power, or territorial control.","Imbalance of power","The national government and non-state armed group(s) do not have similar levels of resilience, adaptability, military experience, power, or territorial control.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,1,"The national government and non-state armed group(s) do not have similar levels of resilience, adaptability, military experience, power, or territorial control.",NA,"Weaker",NA,"Relatively weak",NA,"Security assistance_tool",1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0
"201","Weak non-state armed group",NA,"Security assistance",1,1,0,0,-0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Aid that promotes another state’s defense","Security assistance is support provided by a government in the form of “defense articles, military education and training, and other defense-related services to eligible foreign governments by grant, loan, credit, cash sales, or lease” (Office of the Deputy Assistant Secretary of the Army for Defense Exports and Cooperation).","If security assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if security assistance enables a state to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","(1) dissuading potential perpetrators from committing atrocities, (2) degrading potential perpetrators’ capacity to commit atrocities, and (3) protecting vulnerable civilian populations.","Military, Economic, Informational","Strong non-state armed group","Strong NSAG","Non-state armed group(s) are strong or have a high degree of resilience, adaptability, military experience, power, or territorial control.","Weak non-state armed group","The non-state armed group in the conflict is weak and has a low degree of resilience, adaptability, military experience, power, or territorial control.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,1,"The non-state armed group in the conflict is weak and has a low degree of resilience, adaptability, military experience, power, or territorial control.",NA,"Weaker",NA,"Relatively weak",NA,"Security assistance_tool",1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0
"202","Target lacks access to resources",NA,"Mediation",2,2,0,0,-1,1,0,2,0,0,0,2,0,0,"Conflict, Violence against civilians","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","Target has access to resources","Access to resources","The target has access to resources, such as oil or gemstones.","Target lacks access to resources","The target lacks access to resources, such as oil or gemstones, to continue the conflict.","Contextual","Target characteristics",NA,NA,NA,NA,NA,NA,1,"The target lacks access to resources, such as oil or gemstones, to continue the conflict.",NA,"Weaker",NA,"Relatively weak",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"203","Economic shock",NA,"Development assistance",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","(1) dissuading potential perpetrators from committing atrocities","Economic","Economic shock","Economic_shock","The country under study has recently experienced an economic shock.","No economic shock","The country under study has not recently experienced an economic shock.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,0,"The country under study has recently experienced an economic shock.",NA,"Weaker",NA,"Relatively weak",NA,"Development assistance_tool",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"204","Less developed state",NA,"Naming and shaming",1,1,0,0,-0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Public condemnation of perpetrators of mass atrocities","Naming and shaming is the publicizing of “rights-based violations and their perpetrators (naming) and bring[ing] more pressure to bear on perpetrators of rights violations to change their behavior (shaming)” (Krain 2012, p. 575; Keck and Sikkink 1998).","If naming and shaming imposes reputational costs on perpetrators and/or increases the expected future costs of committing atrocities, it would reduce the likelihood or severity of mass atrocities (Krain 2012; DeMeritt 2012). If naming and shaming imposes reputational and political costs that encourage perpetrators to consider exiting their positions of power, it would reduce the likelihood or severity of mass atrocities by helping facilitate a political transition.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, or (2) facilitating a political transition","Diplomatic","Highly developed state","Highly developed state","The country under study is highly developed.","Less developed state","The country under study is not highly developed.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,1,"The country under study is not highly developed.",NA,"Weaker",NA,"Relatively weak",NA,"Naming_and_shaming_tool",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"205","Target is a severe human rights violator",NA,"Naming and shaming",2,1,0,1,0.5,0.25,0,2,0,0,0,1,0,1,"Conflict, Human rights violations","Public condemnation of perpetrators of mass atrocities","Naming and shaming is the publicizing of “rights-based violations and their perpetrators (naming) and bring[ing] more pressure to bear on perpetrators of rights violations to change their behavior (shaming)” (Krain 2012, p. 575; Keck and Sikkink 1998).","If naming and shaming imposes reputational costs on perpetrators and/or increases the expected future costs of committing atrocities, it would reduce the likelihood or severity of mass atrocities (Krain 2012; DeMeritt 2012). If naming and shaming imposes reputational and political costs that encourage perpetrators to consider exiting their positions of power, it would reduce the likelihood or severity of mass atrocities by helping facilitate a political transition.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, or (2) facilitating a political transition","Diplomatic","Target is a severe human rights violator","Severe HR violations","The target has committed an extensive number of human rights violations in the conflict in which mass atrocities or closely-related outcomes are occurring.","Target is not a severe human rights violator","The target has committed a less extensive number of human rights violations in the conflict in which mass atrocities or closely-related outcomes are occurring.","Contextual","Target characteristics",NA,NA,NA,NA,NA,NA,0,"The target has committed an extensive number of human rights violations in the conflict in which mass atrocities or closely-related outcomes are occurring.",NA,"Weaker",NA,"Relatively weak",NA,"Naming_and_shaming_tool",1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
