"","Name.Final","tool_name","count","greater_findings","lesser_findings","no_mixed_findings","temp_vote_count_factor","vote_count_factor","count_adverse","count_without_adverse","ma_focus_greater_count_factor","ma_focus_lesser_count_factor","ma_focus_no_mixed_count_factor","cro_focus_greater_count_factor","cro_focus_lesser_count_factor","cro_focus_no_mixed_count_factor","outcomes","Short.description","Description_tool","Theory.of.change","Structural.or.operational","Evidence.review","dissuade","degrade","protect","transition","military","diplomatic","informational","economic","legal","Name","Dedoose.name_factor","Description","Inverse.factor","Inverse.factor.description","Contextual.or.design.factor","Family","domestic_context","conflict_dynamics","target_characteristics","implementer_choices","implementer_characteristics","international_dynamics","tool_specific","count_practitioner","number_practitioners","proportion_practitioner","inversion_with_neg_strength","Description.Final","vote_count","research_qualitative","practitioner_qualitative","Dedoose.name_tool"
"167","Interstate conflict","Peace operations",2,1,0,1,0.5,0.25,0,2,0,0,0,1,0,1,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Interstate conflict","Interstate","The country is experiencing an interstate conflict.","No interstate conflict","The country is not currently experiencing an interstate conflict.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"The country is experiencing an interstate conflict.",0.25,"Weaker",NA,"Peace operations_tool"
"168","Strong government","Peace operations",2,2,0,0,1.5,1.5,0,2,1,0,0,1,0,0,"Conflict, Human rights violations, Mass atrocities","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Strong government","Strong government","The national government is strong, or has a high degree of resilience, adaptability, military experience, power, or territorial control.","Weak government","The government in the conflict is weak or has a low degree of resilience, adaptability, military experience, power, or territorial control.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"The national government is strong, or has a high degree of resilience, adaptability, military experience, power, or territorial control.",1.5,"Moderate",NA,"Peace operations_tool"
"169","Absence of guerilla warfare","Peace operations",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Guerrilla warfare","Guerrilla warfare","Parties to the conflict use guerrilla warfare, in which small groups of combatants target a larger military through ambushes, raids, etc.","Absence of guerilla warfare","Parties to the conflict do not use guerrilla warfare, in which small groups of combatants target a larger military through ambushes, raids, etc.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,1,"Parties to the conflict do not use guerrilla warfare, in which small groups of combatants target a larger military through ambushes, raids, etc.",0.5,"Weaker",NA,"Peace operations_tool"
"170","Consistent implementation","Development assistance",2,2,0,0,1,1,0,2,0,0,0,2,0,0,"Adverse consequences, Conflict, Human rights violations, Mass atrocities, Violence against civilians","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,0,0,0,0,0,0,1,0,"Consistent implementation","Consistency over time","The tool is implemented consistently over time and across parties/perpetrator groups.","Inconsistent implementation","The tool is implemented inconsistently over time and across parties/perpetrator groups.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool is implemented consistently over time and across parties/perpetrator groups.",1,"Weaker",NA,"Development assistance_tool"
"171","Short conflict","Mediation",5,0,2,3,-1,-0.25,0,5,0,0,0,0,2,3,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Long conflict","Long conflict","The country is experiencing a conflict of long duration.","Short conflict","The country is experiencing a conflict of short duration.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,1,"The country is experiencing a conflict of short duration.",0.25,"Weaker",NA,"Mediation_tool"
"172","Strong non-state armed group","Peace operations",2,1,0,1,0.5,0.25,0,2,0,0,0,1,0,1,"Conflict, Human rights violations, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Strong non-state armed group","Strong NSAG","Non-state armed group(s) are strong or have a high degree of resilience, adaptability, military experience, power, or territorial control.","Weak non-state armed group","The non-state armed group in the conflict is weak and has a low degree of resilience, adaptability, military experience, power, or territorial control.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"Non-state armed group(s) are strong or have a high degree of resilience, adaptability, military experience, power, or territorial control.",0.25,"Weaker",NA,"Peace operations_tool"
"173","Protection of civilians mandate","Peace operations",2,1,0,1,0.5,0.25,0,2,0,0,0,1,0,1,"Human rights violations, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Protection of civilians mandate","Protection_of_civilians_mandate","The peace operation has a mandate to protect civilians.",NA,NA,"Design","Peace operations factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The peace operation has a mandate to protect civilians.",0.25,"Weaker",NA,"Peace operations_tool"
"174","Implementer has strong human rights record","Peace operations",1,0,0,1,0,0,0,1,0,0,0,0,0,1,"Human rights violations","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Implementer has strong human rights record","Strong HR record","The tool implementer has a strong human rights record or record of protecting civilians.","Implementer has weak human rights record","The tool implementer has a weak human rights record or does not have a record of protecting civilians.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer has a strong human rights record or record of protecting civilians.",0,"Weaker",NA,"Peace operations_tool"
"175","Humanitarian mission","Peace operations",1,0,0,1,0,0,0,1,0,0,0,0,0,1,"Human rights violations","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Humanitarian mission","Humanitarian_mission","The peace operation has a humanitarian purpose which can include protecting humanitarian convoys, humanitarian operations, and/or humanitarian aid.",NA,NA,"Design","Peace operations factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The peace operation has a humanitarian purpose which can include protecting humanitarian convoys, humanitarian operations, and/or humanitarian aid.",0,"Weaker",NA,"Peace operations_tool"
"176","Consistent implementation","Arms embargoes",3,1,1,1,0,0,0,3,0,0,0,1,1,1,"Adverse consequences, Conflict, Human rights violations, Mass atrocities, Violence against civilians","Prohibitions on weapons transfers","Arms embargoes prohibit arms transfers to a whole country (“blanket arms embargoes”), specific areas or forces within a country (“selective arms embargoes”), or individuals or groups regardless of location (“global arms embargoes”). Arms embargoes can target one or all sides of a conflict (“partial” and “impartial” arms embargoes, respectively) (SIPR 2007, pp. 2-3).","If arms embargoes deny potential perpetrators access to arms or raise the costs of acquiring arms, they would reduce the likelihood or severity of mass atrocities by constraining their capacity for violence. If arms embargoes increase the expected cost of committing mass atrocities, potential perpetrators would be more likely to choose alternative options (Brubaker and Dorfler 2017, pp. 2, 8).","Operational","Yes",1,1,0,0,1,0,0,1,0,"Consistent implementation","Consistency over time","The tool is implemented consistently over time and across parties/perpetrator groups.","Inconsistent implementation","The tool is implemented inconsistently over time and across parties/perpetrator groups.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool is implemented consistently over time and across parties/perpetrator groups.",0,"Weaker",NA,"Arms embargoes_tool"
"177","Atrocities by non-state armed groups","Arms embargoes",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict, Human rights violations, Mass atrocities, Violence against civilians","Prohibitions on weapons transfers","Arms embargoes prohibit arms transfers to a whole country (“blanket arms embargoes”), specific areas or forces within a country (“selective arms embargoes”), or individuals or groups regardless of location (“global arms embargoes”). Arms embargoes can target one or all sides of a conflict (“partial” and “impartial” arms embargoes, respectively) (SIPR 2007, pp. 2-3).","If arms embargoes deny potential perpetrators access to arms or raise the costs of acquiring arms, they would reduce the likelihood or severity of mass atrocities by constraining their capacity for violence. If arms embargoes increase the expected cost of committing mass atrocities, potential perpetrators would be more likely to choose alternative options (Brubaker and Dorfler 2017, pp. 2, 8).","Operational","Yes",1,1,0,0,1,0,0,1,0,"Atrocities by non-state armed groups","Atrocities by NSAGs","Atrocities, human rights abuses, or one-sided violence are being perpetrated by non-state armed groups.",NA,NA,"Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"Atrocities, human rights abuses, or one-sided violence are being perpetrated by non-state armed groups.",0.5,"Weaker",NA,"Arms embargoes_tool"
"178","Early implementation","Arms embargoes",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict, Mass atrocities","Prohibitions on weapons transfers","Arms embargoes prohibit arms transfers to a whole country (“blanket arms embargoes”), specific areas or forces within a country (“selective arms embargoes”), or individuals or groups regardless of location (“global arms embargoes”). Arms embargoes can target one or all sides of a conflict (“partial” and “impartial” arms embargoes, respectively) (SIPR 2007, pp. 2-3).","If arms embargoes deny potential perpetrators access to arms or raise the costs of acquiring arms, they would reduce the likelihood or severity of mass atrocities by constraining their capacity for violence. If arms embargoes increase the expected cost of committing mass atrocities, potential perpetrators would be more likely to choose alternative options (Brubaker and Dorfler 2017, pp. 2, 8).","Operational","Yes",1,1,0,0,1,0,0,1,0,"Early implementation","Early_in_conflict","The tool is implemented early in the conflict or rapidly after the appearance of early warning signs or occurrence of mass atrocities.","Late implementation","The tool is implemented late in the conflict or slowly after the appearance of early warning signs or occurrence of mass atrocities.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool is implemented early in the conflict or rapidly after the appearance of early warning signs or occurrence of mass atrocities.",0.5,"Weaker",NA,"Arms embargoes_tool"
"179","More than two conflict parties","Mediation",2,1,1,0,0,0,0,2,0,0,0,1,1,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"More than two conflict parties","More than two parties","The country is experiencing a conflict consisting of more than two parties.","The country is experiencing a conflict consisting of two conflict parties","There are two parties to the conflict.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"The country is experiencing a conflict consisting of more than two parties.",0,"Weaker",NA,"Mediation_tool"
"180","Clear policy objectives","Mediation",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict, Human rights violations, Violence against civilians","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Clear policy objectives","Clear policy objectives","The implementer's objectives in using the tool are clear.","Absence of clear policy objectives","The implementer's objectives in using the tool are unclear.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The implementer's objectives in using the tool are clear.",0.5,"Weaker",NA,"Mediation_tool"
"181","Committed implementer","Amnesties",4,4,0,0,2,2,0,4,0,0,0,4,0,0,"Conflict, Human rights violations, Mass atrocities, Violence against civilians","The official barring of legal proceedings against certain individuals or groups","An amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,0,1,0,0,0,0,1,"Committed implementer","Commitment","The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.","Uncommitted implementer","The tool implementer has a low level of commitment, resolve, or credibility, or has committed few resources toward use of the tool.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",2,"Moderate",NA,"Amnesties_tool"
"182","Non-humanitarian aid","Development assistance",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Conflict","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,0,0,0,0,0,0,1,0,"Humanitarian aid","Humanitarian_aid","The purpose of the assistance is humanitarian.","Non-humanitarian aid","The purpose of the assistance is not humanitarian.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,1,"The purpose of the assistance is not humanitarian.",0.5,"Weaker",NA,"Development assistance_tool"
"183","Local support for tool","Mediation",4,3,0,1,1.5,1.25,0,4,0,0,0,3,0,1,"Conflict, Human rights violations, Mass atrocities, Violence against civilians","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Local support for tool","Local support for tool","Most of the local population and/or local civil society supports the use of the tool and perceives its use as legitimate.","No local support for tool","There is a low degree of local population support or civil society mobilization for the use or goals of the tool, and/or the local population perceives the use of the tool as illegitimate.","Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,0,"Most of the local population and/or local civil society supports the use of the tool and perceives its use as legitimate.",1.25,"Moderate",NA,"Mediation_tool"
"184","Concurrent use of multiple tools","Mediation",9,5,1,3,2,1.25,0,9,0,0,0,5,1,3,"Conflict, Human rights violations, Mass atrocities, Violence against civilians","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Concurrent use of multiple tools","Multi_tool","The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.","Single tool","No actors are implementing tools that are consistent with the goals of the tool.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.",1.25,"Moderate",NA,"Mediation_tool"
"185","High status target","Mediation",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict, Human rights violations, Mass atrocities","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"High status target","Top leader or high status","The target is a top leader or has high status.","Not a top leader or high status","The target is not a top leader or has low status.","Design","Target characteristics",0,0,1,0,0,0,0,NA,NA,NA,0,"The target is a top leader or has high status.",0.5,"Weaker",NA,"Mediation_tool"
"186","Limited scope","Amnesties",2,1,1,0,0,0,0,2,0,0,0,1,1,0,"Conflict, Mass atrocities","The official barring of legal proceedings against certain individuals or groups","An amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,0,1,0,0,0,0,1,"Limited scope","Limited scope","The tool is applied in a limited way or targets a limited set of issues within the conflict.","Broad scope","The tool targets a broad set of issues within the conflict.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool is applied in a limited way or targets a limited set of issues within the conflict.",0,"Weaker",NA,"Amnesties_tool"
"187","Threat of use of tool","Arms embargoes",2,0,0,2,0,0,0,2,0,0,0,0,0,2,"Conflict, Human rights violations, Mass atrocities","Prohibitions on weapons transfers","Arms embargoes prohibit arms transfers to a whole country (“blanket arms embargoes”), specific areas or forces within a country (“selective arms embargoes”), or individuals or groups regardless of location (“global arms embargoes”). Arms embargoes can target one or all sides of a conflict (“partial” and “impartial” arms embargoes, respectively) (SIPR 2007, pp. 2-3).","If arms embargoes deny potential perpetrators access to arms or raise the costs of acquiring arms, they would reduce the likelihood or severity of mass atrocities by constraining their capacity for violence. If arms embargoes increase the expected cost of committing mass atrocities, potential perpetrators would be more likely to choose alternative options (Brubaker and Dorfler 2017, pp. 2, 8).","Operational","Yes",1,1,0,0,1,0,0,1,0,"Threat of use of tool","Threat of use of tool","The tool implementer threatens the use of the tool.","No threat of use of tool","The tool implementer does not threaten the use of the tool.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool implementer threatens the use of the tool.",0,"Weaker",NA,"Arms embargoes_tool"
"188","Consistent implementation","Amnesties",2,1,1,0,0,0,0,2,0,0,0,1,1,0,"Adverse consequences, Conflict, Human rights violations, Mass atrocities, Violence against civilians","The official barring of legal proceedings against certain individuals or groups","An amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,0,1,0,0,0,0,1,"Consistent implementation","Consistency over time","The tool is implemented consistently over time and across parties/perpetrator groups.","Inconsistent implementation","The tool is implemented inconsistently over time and across parties/perpetrator groups.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool is implemented consistently over time and across parties/perpetrator groups.",0,"Weaker",NA,"Amnesties_tool"
"189","Democratic implementer","Support to non state armed groups",2,1,0,1,0.5,0.25,0,2,0,0,0,1,0,1,"Conflict, Violence against civilians","Aid provided by a foreign state to a rebel group","Support to non-state armed groups is assistance--including “the provision of weapons, funds, logistics, military training and access to intelligence and sanctuaries"" (Karlen 2017, p. 16)--provided by a foreign state to a non-state armed group (often referred to as a rebel group). This review does not include analyses of direct military intervention in support of a non-state armed group.","If support to a non-state armed group enables the group to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if support to a non-state armed group enables it to defeat an abusive government and facilitate a political transition, it would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,1,1,1,0,1,1,0,"Democratic implementer","Democratic implementer","The tool implementer is a democracy.","Autocratic implementer","The tool implementer is not a democracy.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer is a democracy.",0.25,"Weaker",NA,"Support to non state armed groups_tool"
"190","Consistent implementation","Prosecutions",3,3,0,0,2,2,0,3,1,0,0,2,0,0,"Adverse consequences, Conflict, Human rights violations, Mass atrocities, Violence against civilians","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes",1,0,0,1,0,0,0,0,1,"Consistent implementation","Consistency over time","The tool is implemented consistently over time and across parties/perpetrator groups.","Inconsistent implementation","The tool is implemented inconsistently over time and across parties/perpetrator groups.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool is implemented consistently over time and across parties/perpetrator groups.",2,"Moderate",NA,"Prosecutions_tool"
"191","Mediation includes all conflict parties","Mediation",2,1,1,0,0,0,0,2,0,0,0,1,1,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Mediation includes all conflict parties","Inclusive to all parties","The mediation includes all conflict parties.","Mediation does not include all conflict parties","The mediation does not include all conflict parties.","Design","Mediation factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The mediation includes all conflict parties.",0,"Weaker",NA,"Mediation_tool"
