"","Name.Final","tool_name","Tool","count","greater_findings","lesser_findings","no_mixed_findings","temp_vote_count_factor","vote_count_factor","count_adverse","count_without_adverse","ma_focus_greater_count_factor","ma_focus_lesser_count_factor","ma_focus_no_mixed_count_factor","cro_focus_greater_count_factor","cro_focus_lesser_count_factor","cro_focus_no_mixed_count_factor","outcomes","Short.description","Description_tool","Theory.of.change","Structural.or.operational","Evidence.review","dissuade","degrade","protect","transition","military","diplomatic","informational","economic","legal","Name","Dedoose.name_factor","Description","Inverse.factor","Inverse.factor.description","Contextual.or.design.factor","Family","domestic_context","conflict_dynamics","target_characteristics","implementer_choices","implementer_characteristics","international_dynamics","tool_specific","count_practitioner","number_practitioners","proportion_practitioner","inversion_with_neg_strength","Description.Final","vote_count","research_qualitative","practitioner_qualitative","research_qualitative_for_web","practitioner_qualitative_for_web","Dedoose.name_tool"
"233","Uncommitted implementer","Security assistance","Security assistance_tool",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Conflict","Aid that promotes another state’s defense","Security assistance is support provided by a government in the form of “defense articles, military education and training, and other defense-related services to eligible foreign governments by grant, loan, credit, cash sales, or lease” (Office of the Deputy Assistant Secretary of the Army for Defense Exports and Cooperation).","If security assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if security assistance enables a state to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,1,1,0,1,0,1,1,0,"Committed implementer","Commitment","The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.","Uncommitted implementer","The tool implementer has a low level of commitment, resolve, or credibility, or has committed few resources toward use of the tool.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,1,"The tool implementer has a low level of commitment, resolve, or credibility, or has committed few resources toward use of the tool.",0.5,"Weaker",NA,"Relatively weak",NA,"Security assistance_tool"
"234","Military regime","Naming and shaming","Naming_and_shaming_tool",1,0,0,1,0,0,0,1,0,0,0,0,0,1,"Human rights violations","Public condemnation of perpetrators of mass atrocities","Naming and shaming is the publicizing of “rights-based violations and their perpetrators (naming) and bring[ing] more pressure to bear on perpetrators of rights violations to change their behavior (shaming)” (Krain 2012, p. 575; Keck and Sikkink 1998).","If naming and shaming imposes reputational costs on perpetrators and/or increases the expected future costs of committing atrocities, it would reduce the likelihood or severity of mass atrocities (Krain 2012; DeMeritt 2012). If naming and shaming imposes reputational and political costs that encourage perpetrators to consider exiting their positions of power, it would reduce the likelihood or severity of mass atrocities by helping facilitate a political transition.","Operational","Yes",1,0,0,1,0,1,0,0,0,"Military regime","Military regime","The country under study is ruled by a military regime.",NA,NA,"Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,0,"The country under study is ruled by a military regime.",0,"Weaker",NA,"Relatively weak",NA,"Naming_and_shaming_tool"
"235","Target relies on international trade and investment","Naming and shaming","Naming_and_shaming_tool",1,0,0,1,0,0,0,1,0,0,0,0,0,1,"Human rights violations","Public condemnation of perpetrators of mass atrocities","Naming and shaming is the publicizing of “rights-based violations and their perpetrators (naming) and bring[ing] more pressure to bear on perpetrators of rights violations to change their behavior (shaming)” (Krain 2012, p. 575; Keck and Sikkink 1998).","If naming and shaming imposes reputational costs on perpetrators and/or increases the expected future costs of committing atrocities, it would reduce the likelihood or severity of mass atrocities (Krain 2012; DeMeritt 2012). If naming and shaming imposes reputational and political costs that encourage perpetrators to consider exiting their positions of power, it would reduce the likelihood or severity of mass atrocities by helping facilitate a political transition.","Operational","Yes",1,0,0,1,0,1,0,0,0,"Target relies on international trade and investment","Reliance on international trade and investment","The target relies on international trade or investment.","Target does not rely on international trade or investment","The target does not rely on international trade or investment","Contextual","Target characteristics",0,0,1,0,0,0,0,NA,NA,NA,0,"The target relies on international trade or investment.",0,"Weaker",NA,"Relatively weak",NA,"Naming_and_shaming_tool"
"236","Autocracy or authoritarian regime","Naming and shaming","Naming_and_shaming_tool",3,0,1,2,-0.5,0,0,3,0,0,0,0,1,2,"Human rights violations","Public condemnation of perpetrators of mass atrocities","Naming and shaming is the publicizing of “rights-based violations and their perpetrators (naming) and bring[ing] more pressure to bear on perpetrators of rights violations to change their behavior (shaming)” (Krain 2012, p. 575; Keck and Sikkink 1998).","If naming and shaming imposes reputational costs on perpetrators and/or increases the expected future costs of committing atrocities, it would reduce the likelihood or severity of mass atrocities (Krain 2012; DeMeritt 2012). If naming and shaming imposes reputational and political costs that encourage perpetrators to consider exiting their positions of power, it would reduce the likelihood or severity of mass atrocities by helping facilitate a political transition.","Operational","Yes",1,0,0,1,0,1,0,0,0,"Democracy","Democracy","The country under study is a democracy. (Note - For our review, we assume that findings associated with autocracy or authoritarian regime type can be considered equivalent to findings associated with the absence of democracy.)","Autocracy or authoritarian regime","The country under study is an autocracy or authoritarian regime.","Contextual","Domestic context ",1,0,0,0,0,0,0,NA,NA,NA,1,"The country under study is an autocracy or authoritarian regime.",0,"Weaker",NA,"Relatively weak",NA,"Naming_and_shaming_tool"
"237","Local support for tool","Naming and shaming","Naming_and_shaming_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Human rights violations","Public condemnation of perpetrators of mass atrocities","Naming and shaming is the publicizing of “rights-based violations and their perpetrators (naming) and bring[ing] more pressure to bear on perpetrators of rights violations to change their behavior (shaming)” (Krain 2012, p. 575; Keck and Sikkink 1998).","If naming and shaming imposes reputational costs on perpetrators and/or increases the expected future costs of committing atrocities, it would reduce the likelihood or severity of mass atrocities (Krain 2012; DeMeritt 2012). If naming and shaming imposes reputational and political costs that encourage perpetrators to consider exiting their positions of power, it would reduce the likelihood or severity of mass atrocities by helping facilitate a political transition.","Operational","Yes",1,0,0,1,0,1,0,0,0,"Local support for tool","Local support for tool","Most of the local population and/or local civil society supports the use of the tool and perceives its use as legitimate.","No local support for tool","There is a low degree of local population support or civil society mobilization for the use or goals of the tool, and/or the local population perceives the use of the tool as illegitimate.","Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,0,"Most of the local population and/or local civil society supports the use of the tool and perceives its use as legitimate.",0.5,"Weaker",NA,"Relatively weak",NA,"Naming_and_shaming_tool"
"238","Limited ethnic exclusion","Mediation","Mediation_tool",2,0,1,1,-0.5,-0.25,0,2,0,0,0,0,1,1,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Ethnic exclusion or polarization","Ethnic exclusion","The state where mass atrocities are occurring is characterized by high levels of ethnic exclusion or ethnic polarization.","Limited ethnic exclusion","The country under study is characterized by low levels of ethnic exclusion or ethnic polarization.","Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,1,"The country under study is characterized by low levels of ethnic exclusion or ethnic polarization.",0.25,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"239","Imbalance of wealth between conflict parties","Mediation","Mediation_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Imbalance of wealth between conflict parties","Imbalance_wealth","There is an imbalance of wealth between conflict parties.","Balance of wealth between conflict parties","There is a balance of wealth between conflict parties.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"There is an imbalance of wealth between conflict parties.",0.5,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"240","History of conflict","Security assistance","Security assistance_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Violence against civilians","Aid that promotes another state’s defense","Security assistance is support provided by a government in the form of “defense articles, military education and training, and other defense-related services to eligible foreign governments by grant, loan, credit, cash sales, or lease” (Office of the Deputy Assistant Secretary of the Army for Defense Exports and Cooperation).","If security assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if security assistance enables a state to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,1,1,0,1,0,1,1,0,"History of conflict","History of conflict","The parties to the conflict or the country under study has a history of violent conflict.","No history of conflict","Neither the parties to the conflict nor the country under study has a history of violent conflict.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"The parties to the conflict or the country under study has a history of violent conflict.",0.5,"Weaker",NA,"Relatively weak",NA,"Security assistance_tool"
"241","Low quantity of support","Security assistance","Security assistance_tool",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Violence against civilians","Aid that promotes another state’s defense","Security assistance is support provided by a government in the form of “defense articles, military education and training, and other defense-related services to eligible foreign governments by grant, loan, credit, cash sales, or lease” (Office of the Deputy Assistant Secretary of the Army for Defense Exports and Cooperation).","If security assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if security assistance enables a state to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,1,1,0,1,0,1,1,0,"High quantity of support","High quantity of support","The quantity of external support to the state actor or non-state armed group results in a large increase in the group’s capabilities.","Low quantity of support","The quantity of external support to the state actor or non-state armed group does not result in a large increase in the group’s capabilities.","Design","Implementer choices    ",0,0,0,1,0,0,0,NA,NA,NA,1,"The quantity of external support to the state actor or non-state armed group does not result in a large increase in the group’s capabilities.",0.5,"Weaker",NA,"Relatively weak",NA,"Security assistance_tool"
"242","Ongoing armed conflict","Security assistance","Security assistance_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Violence against civilians","Aid that promotes another state’s defense","Security assistance is support provided by a government in the form of “defense articles, military education and training, and other defense-related services to eligible foreign governments by grant, loan, credit, cash sales, or lease” (Office of the Deputy Assistant Secretary of the Army for Defense Exports and Cooperation).","If security assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if security assistance enables a state to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,1,1,0,1,0,1,1,0,"Ongoing armed conflict","Ongoing armed conflict","There is an ongoing armed conflict in the country under study.","No ongoing armed conflict","There is no ongoing armed conflict in the country under study.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"There is an ongoing armed conflict in the country under study.",0.5,"Weaker",NA,"Relatively weak",NA,"Security assistance_tool"
"243","Clear policy objectives","Development assistance","Development assistance_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Human rights violations","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,0,0,0,0,0,0,1,0,"Clear policy objectives","Clear policy objectives","The implementer's objectives in using the tool are clear.","Absence of clear policy objectives","The implementer's objectives in using the tool are unclear.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The implementer's objectives in using the tool are clear.",0.5,"Weaker",NA,"Relatively weak",NA,"Development assistance_tool"
"244","Military regime","Development assistance","Development assistance_tool",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Human rights violations","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,0,0,0,0,0,0,1,0,"Military regime","Military regime","The country under study is ruled by a military regime.",NA,NA,"Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,0,"The country under study is ruled by a military regime.",-0.5,"Weaker",NA,"Relatively weak",NA,"Development assistance_tool"
"245","Aid-dependent target","Development assistance","Development assistance_tool",1,0,0,1,0,0,0,1,0,0,0,0,0,1,"Human rights violations","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,0,0,0,0,0,0,1,0,"Aid-dependent target","Foreign aid dependency","The target is dependent on foreign aid.","Aid-independent target","The target is not dependent on foreign aid.","Contextual","Target characteristics",0,0,1,0,0,0,0,NA,NA,NA,0,"The target is dependent on foreign aid.",0,"Weaker",NA,"Relatively weak",NA,"Development assistance_tool"
"246","Low quantity of support","Support to non-state armed groups","Support to non-state armed groups_tool",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Conflict","Aid provided by a foreign state to a rebel group","Support to non-state armed groups is assistance--including “the provision of weapons, funds, logistics, military training and access to intelligence and sanctuaries"" (Karlen 2017, p. 16)--provided by a foreign state to a non-state armed group (often referred to as a rebel group). This review does not include analyses of direct military intervention in support of a non-state armed group.","If support to a non-state armed group enables the group to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if support to a non-state armed group enables it to defeat an abusive government and facilitate a political transition, it would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,1,1,1,0,1,1,0,"High quantity of support","High quantity of support","The quantity of external support to the state actor or non-state armed group results in a large increase in the group’s capabilities.","Low quantity of support","The quantity of external support to the state actor or non-state armed group does not result in a large increase in the group’s capabilities.","Design","Implementer choices    ",0,0,0,1,0,0,0,NA,NA,NA,1,"The quantity of external support to the state actor or non-state armed group does not result in a large increase in the group’s capabilities.",0.5,"Weaker",NA,"Relatively weak",NA,"Support to non-state armed groups_tool"
"247","Non-state target","Mediation","Mediation_tool",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"State target","State target","The target is a state actor or state group.","Non-state target","The target is a non-state actor or non-state group.","Design","Target characteristics",0,0,1,0,0,0,0,NA,NA,NA,1,"The target is a non-state actor or non-state group.",0.5,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"248","Adversary implementer","Naming and shaming","Naming_and_shaming_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Human rights violations","Public condemnation of perpetrators of mass atrocities","Naming and shaming is the publicizing of “rights-based violations and their perpetrators (naming) and bring[ing] more pressure to bear on perpetrators of rights violations to change their behavior (shaming)” (Krain 2012, p. 575; Keck and Sikkink 1998).","If naming and shaming imposes reputational costs on perpetrators and/or increases the expected future costs of committing atrocities, it would reduce the likelihood or severity of mass atrocities (Krain 2012; DeMeritt 2012). If naming and shaming imposes reputational and political costs that encourage perpetrators to consider exiting their positions of power, it would reduce the likelihood or severity of mass atrocities by helping facilitate a political transition.","Operational","Yes",1,0,0,1,0,1,0,0,0,"Adversary implementer","Adversary_implementer","The tool implementer is an adversary or geopolitical rival of the target.","Non-adversary implementer","The tool implementer is not an adversary or geopolitical rival of the target.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer is an adversary or geopolitical rival of the target.",0.5,"Weaker",NA,"Relatively weak",NA,"Naming_and_shaming_tool"
"249","Limited nationalist political leverage","Naming and shaming","Naming_and_shaming_tool",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Human rights violations","Public condemnation of perpetrators of mass atrocities","Naming and shaming is the publicizing of “rights-based violations and their perpetrators (naming) and bring[ing] more pressure to bear on perpetrators of rights violations to change their behavior (shaming)” (Krain 2012, p. 575; Keck and Sikkink 1998).","If naming and shaming imposes reputational costs on perpetrators and/or increases the expected future costs of committing atrocities, it would reduce the likelihood or severity of mass atrocities (Krain 2012; DeMeritt 2012). If naming and shaming imposes reputational and political costs that encourage perpetrators to consider exiting their positions of power, it would reduce the likelihood or severity of mass atrocities by helping facilitate a political transition.","Operational","Yes",1,0,0,1,0,1,0,0,0,"Nationalist political leverage","Nationalist political leverage","Nationalists have significant political leverage in the country under study.","Limited nationalist political leverage","Nationalists have limited political leverage in the country under study.","Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,1,"Nationalists have limited political leverage in the country under study.",0.5,"Weaker",NA,"Relatively weak",NA,"Naming_and_shaming_tool"
"250","Anocracy or hybrid regime","Development assistance","Development assistance_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,0,0,0,0,0,0,1,0,"Anocracy or hybrid regime","Anocracy or hybrid regime","The country under study is an anocracy or hybrid regime.",NA,NA,"Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,0,"The country under study is an anocracy or hybrid regime.",0.5,"Weaker",NA,"Relatively weak",NA,"Development assistance_tool"
"251","Monitoring and adjustment","Arms embargoes","Arms embargoes_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Prohibitions on weapons transfers","Arms embargoes prohibit arms transfers to a whole country (“blanket arms embargoes”), specific areas or forces within a country (“selective arms embargoes”), or individuals or groups regardless of location (“global arms embargoes”). Arms embargoes can target one or all sides of a conflict (“partial” and “impartial” arms embargoes, respectively) (SIPR 2007, pp. 2-3).","If arms embargoes deny potential perpetrators access to arms or raise the costs of acquiring arms, they would reduce the likelihood or severity of mass atrocities by constraining their capacity for violence. If arms embargoes increase the expected cost of committing mass atrocities, potential perpetrators would be more likely to choose alternative options (Brubaker and Dorfler 2017, pp. 2, 8).","Operational","Yes",1,1,0,0,1,0,0,1,0,"Monitoring and adjustment","Monitoring","The success of the tool is monitored and the tool is adjusted to maximize success.","Absence of monitoring and adjustment","The success of the tool is not monitored nor is the tool adjusted to maximize success.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The success of the tool is monitored and the tool is adjusted to maximize success.",0.5,"Weaker",NA,"Relatively weak",NA,"Arms embargoes_tool"
"252","Strong government","Official amnesties","Amnesties_tool",2,2,0,0,1,1,0,2,0,0,0,2,0,0,"Conflict","The official barring of legal proceedings against certain individuals or groups","An official amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If official amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,0,1,0,0,0,0,1,"Strong government","Strong government","The national government is strong, or has a high degree of resilience, adaptability, military experience, power, or territorial control.","Weak government","The government in the conflict is weak or has a low degree of resilience, adaptability, military experience, power, or territorial control.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"The national government is strong, or has a high degree of resilience, adaptability, military experience, power, or territorial control.",1,"Weaker",NA,"Relatively weak",NA,"Amnesties_tool"
"253","Provision of safe haven","Support to non-state armed groups","Support to non-state armed groups_tool",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Conflict","Aid provided by a foreign state to a rebel group","Support to non-state armed groups is assistance--including “the provision of weapons, funds, logistics, military training and access to intelligence and sanctuaries"" (Karlen 2017, p. 16)--provided by a foreign state to a non-state armed group (often referred to as a rebel group). This review does not include analyses of direct military intervention in support of a non-state armed group.","If support to a non-state armed group enables the group to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if support to a non-state armed group enables it to defeat an abusive government and facilitate a political transition, it would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,1,1,1,0,1,1,0,"Provision of safe haven","Rebel safe haven","The tool implementer provides safe haven to the non-state armed group.",NA,NA,"Design","Support to NSAGs factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The tool implementer provides safe haven to the non-state armed group.",-0.5,"Weaker",NA,"Relatively weak",NA,"Support to non-state armed groups_tool"
"254","Strong non-state armed group","Support to non-state armed groups","Support to non-state armed groups_tool",2,1,1,0,0,0,0,2,0,0,0,1,1,0,"Conflict, Violence against civilians","Aid provided by a foreign state to a rebel group","Support to non-state armed groups is assistance--including “the provision of weapons, funds, logistics, military training and access to intelligence and sanctuaries"" (Karlen 2017, p. 16)--provided by a foreign state to a non-state armed group (often referred to as a rebel group). This review does not include analyses of direct military intervention in support of a non-state armed group.","If support to a non-state armed group enables the group to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if support to a non-state armed group enables it to defeat an abusive government and facilitate a political transition, it would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,1,1,1,0,1,1,0,"Strong non-state armed group","Strong NSAG","Non-state armed group(s) are strong or have a high degree of resilience, adaptability, military experience, power, or territorial control.","Weak non-state armed group","The non-state armed group in the conflict is weak and has a low degree of resilience, adaptability, military experience, power, or territorial control.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"Non-state armed group(s) are strong or have a high degree of resilience, adaptability, military experience, power, or territorial control.",0,"Weaker",NA,"Relatively weak",NA,"Support to non-state armed groups_tool"
"255","Conditionalities","Security assistance","Security assistance_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Aid that promotes another state’s defense","Security assistance is support provided by a government in the form of “defense articles, military education and training, and other defense-related services to eligible foreign governments by grant, loan, credit, cash sales, or lease” (Office of the Deputy Assistant Secretary of the Army for Defense Exports and Cooperation).","If security assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if security assistance enables a state to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,1,1,0,1,0,1,1,0,"Conditionalities","Aid conditionalities","The tool implementer imposes specific conditions that the recipient must adhere to in order to receive the assistance.","Unconditional aid","The tool implementer does not impose specific conditions that the recipient must adhere to in order to receive the assistance.","Design","Implementer choices ",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool implementer imposes specific conditions that the recipient must adhere to in order to receive the assistance.",0.5,"Weaker",NA,"Relatively weak",NA,"Security assistance_tool"
"256","Multiple types of mediation","Mediation","Mediation_tool",2,1,0,1,0.5,0.25,0,2,0,0,0,1,0,1,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Multiple types of mediation","Multiple_types_of_mediation","Official mediation efforts are occurring simultaneously with unofficial mediation efforts.",NA,NA,"Design","Mediation factors",0,0,0,0,0,0,1,NA,NA,NA,0,"Official mediation efforts are occurring simultaneously with unofficial mediation efforts.",0.25,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"257","Implementer-target similar legal systems","Mediation","Mediation_tool",1,0,0,1,0,0,0,1,0,0,0,0,0,1,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Implementer-target similar legal systems","Similar legal systems","The tool implementer and target have similar legal systems.","Implementer-target different legal systems","The tool implementer and target have different legal systems.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer and target have similar legal systems.",0,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
